"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 21 11:51:44 IST 2021","Tue Dec 21 11:51:44 IST 2021","666","","test_CouponAPI","","test_CouponAPI","TestCoupon.test_applyCoupon","TestCoupon.test_applyCoupon",""
"passed","Tue Dec 21 11:51:47 IST 2021","Tue Dec 21 11:51:47 IST 2021","327","","test_LoginAPI","","test_LoginAPI","TestLoginAPI.test_createSession","TestLoginAPI.test_createSession",""
"passed","Tue Dec 21 11:51:09 IST 2021","Tue Dec 21 11:51:23 IST 2021","13638","","test_AccountInformation","","test_AccountInformation","TestAccountInformation.test_delete_address","TestAccountInformation.test_delete_address",""
"failed","Tue Dec 21 11:51:40 IST 2021","Tue Dec 21 11:51:41 IST 2021","1328","","test_CartAPI","","test_CartAPI","TestCart.test_addToCart","TestCart.test_addToCart",""
"passed","Tue Dec 21 11:51:46 IST 2021","Tue Dec 21 11:51:47 IST 2021","339","","test_CustomerAPI","","test_CustomerAPI","TestCustomer.test_setCustomer","TestCustomer.test_setCustomer",""
"passed","Tue Dec 21 11:51:43 IST 2021","Tue Dec 21 11:51:44 IST 2021","289","","test_CartAPI","","test_CartAPI","TestLoginAPI.test_createSession","TestLoginAPI.test_createSession",""
"passed","Tue Dec 21 11:49:42 IST 2021","Tue Dec 21 11:49:57 IST 2021","15217","","test_AccountInformation","","test_AccountInformation","TestLogin.test_login","TestLogin.test_login",""
"passed","Tue Dec 21 11:51:42 IST 2021","Tue Dec 21 11:51:43 IST 2021","625","","test_CartAPI","","test_CartAPI","TestCart.test_removeProductFromCart","TestCart.test_removeProductFromCart",""
"passed","Tue Dec 21 11:51:43 IST 2021","Tue Dec 21 11:51:43 IST 2021","570","","test_CartAPI","","test_CartAPI","TestCart.test_getCartContent","TestCart.test_getCartContent",""
"passed","Tue Dec 21 11:51:41 IST 2021","Tue Dec 21 11:51:42 IST 2021","558","","test_CartAPI","","test_CartAPI","TestCart.test_editProductQuantity","TestCart.test_editProductQuantity",""
"passed","Tue Dec 21 11:50:19 IST 2021","Tue Dec 21 11:50:30 IST 2021","11819","","test_AccountInformation","","test_AccountInformation","TestAccountInformation.test_change_password","TestAccountInformation.test_change_password",""
"passed","Tue Dec 21 11:51:46 IST 2021","Tue Dec 21 11:51:46 IST 2021","213","","test_CurrencyAPI","","test_CurrencyAPI","TestLoginAPI.test_createSession","TestLoginAPI.test_createSession",""
"passed","Tue Dec 21 11:51:45 IST 2021","Tue Dec 21 11:51:45 IST 2021","423","","test_CouponAPI","","test_CouponAPI","TestLoginAPI.test_createSession","TestLoginAPI.test_createSession",""
"passed","Tue Dec 21 11:50:52 IST 2021","Tue Dec 21 11:51:06 IST 2021","13434","","test_AccountInformation","","test_AccountInformation","TestAccountInformation.test_edit_address","TestAccountInformation.test_edit_address",""
"passed","Tue Dec 21 11:51:45 IST 2021","Tue Dec 21 11:51:46 IST 2021","946","","test_CurrencyAPI","","test_CurrencyAPI","TestCurrency.test_changeCurrency","TestCurrency.test_changeCurrency",""
"passed","Tue Dec 21 11:51:47 IST 2021","Tue Dec 21 11:51:47 IST 2021","226","","test_CustomerAPI","","test_CustomerAPI","TestLoginAPI.test_createSession","TestLoginAPI.test_createSession",""
"passed","Tue Dec 21 11:50:34 IST 2021","Tue Dec 21 11:50:49 IST 2021","15404","","test_AccountInformation","","test_AccountInformation","TestAccountInformation.test_add_address","TestAccountInformation.test_add_address",""
"passed","Tue Dec 21 11:50:00 IST 2021","Tue Dec 21 11:50:15 IST 2021","14514","","test_AccountInformation","","test_AccountInformation","TestAccountInformation.test_edit_account_information","TestAccountInformation.test_edit_account_information",""
"failed","Tue Dec 21 11:51:26 IST 2021","Tue Dec 21 11:51:36 IST 2021","9925","","test_ForgotPassword","","test_ForgotPassword","TestForgotPassword.test_tC001","TestForgotPassword.test_tC001",""
